title,date,venue,location,status,slides,video,venue website,additionalContent
How to evaluate an evaluation study? Comparing and contrasting practices in vis with those of other disciplines ,19-10-2018,BELIV 2018 - IEEE VIS Conference affiliated workshop,"Berlin, Germany",Refereed,2018_BELIV_Presentation.pdf,,,
A Method for systematically surveying data visualizations in infectious disease genomic epidemiology,24-09-2018,Americian Society for Microbiology: Next Generation Sequencing Conference 2018,"Virginia, USA",Refereed,2018_ASM_NGS_V1.pdf,,,
Creating explorable visualization design spaces: An example from infectious disease genomic epidemiology,20-09-2018,Harvard University,"Boston, USA",Invited,2018_09_20_Harvard.pdf,https://www.youtube.com/watch?v=rdTkUVJYaE0&list=PLDf0t9MNzNSpjNFj-xSQpR73ePz37u3jh&t=0s&index=2,,
Establishing a visualization design space: A case study in infectious disease genomic epidemiology,01-07-2018,McMaster University,"Hamilton, Canada",Invited,2018_06_18_UofT_and_Mac_GEViT-Talk.pdf,,,
Establishing a visualization design space: A case study in infectious disease genomic epidemiology,01-07-2018,University of Toronto,"Toronto, Canada",Invited,2018_06_18_UofT_and_Mac_GEViT-Talk.pdf,,,
Establishing a visualization design space: A case study in infectious disease genomic epidemiology,29-06-2018,University of Calgary,"Calgary, Canada",Invited,2018_06_18_UofT_and_Mac_GEViT-Talk.pdf,,,
Establishing a visualization design space: A case study in infectious disease genomic epidemiology,21-06-2018,National Microbiology Laboratory,"Winnipeg, Canada",Invited,2018_06_18_UofT_and_Mac_GEViT-Talk.pdf,,,
Visualizing Public Health Data,01-04-2018,Dagstuhl Seminar 'BioVis Crossroads',"Dagstuhl, Germany",Invited,2019-04-Dagshtul_Presentation.pdf,,,
An Introduction to Data Visualization,18-01-2018,Population Data British Columbia Webinar,,,,,,
Evidence-Based Design and Evaluation of a Whole Genome Sequencing Clinical Report for the Reference Microbiology Laboratory,09-10-2017,Americian Society for Microbiology: Next Generation Sequencing Conference 2017,"Washington, DC",Refereed,ASM_NGS_2017_ReportDesign_Presentation_v2.pdf,,,
Visualizing public health data for  communicable disease management and control,19-05-2017,Applied Bioinformatics and Public Health Microbiology,"Hinxton, UK",Refereed,ABPHM2017_webVersion.pdf,,,
Infectious Disease Genomic Epidemiology - Data Visualization Module,03-05-2017,Canadian Bioinformatics Workshop : Infectious Disease Genomic Epidemiology,"Vancouver, British Columbia",Invited,Module_7_DataViz_CBW_GenEpi_2017_Powerpoint Template.pdf,,https://bioinformatics.ca/workshops/2017/infectious-disease-genomic-epidemiology-2017,http://rpubs.com/amcrisan/epiDesignPatterns
Visualizing Public Health Data,12-12-2016, Integrated Rapid Infectious Disease Analysis Project : Mini Symposium - Bioinformatics for Infectious Disease Control,"Vancouver, British Columbia",Invited,2016-12-12-v2_Crisan_Anamaria_bioinf_minisymposium.pdf,,,
What is Data Visualization & How Can You Use It in Your Daily Work?,15-11-2016,Evening Rounds - BC Patient Safety & Quality Control Council ,"Vancouver, British Columbia",Invited,2016-11-EveningRounds.pdf,,,
On Regulatory and Organizational Constraints in Visualization Design and Analysis,24-10-2016,BELIV 2016 - IEEE VIS Conference affiliated workshop,"Baltimore, Maryland",Refereed,BELIV_2016.pdf,,,
Bridging the Gaps in Tuberculosis Research: A Public Health Data Visualization Problem,22-10-2016,VIS Doctoral Colloquium - IEEE VIS Conference,"Baltimore, Maryland",Refereed,,,,
Visualizing Public Health Data,07-07-2016,Vancouver Healthcare Design Meetup,"Vancouver, British Columbia",Invited,2015-06-HxD_talk.pdf,,,
Visualizing Public Health Data,07-06-2016,BC Centre for Disease Control  Grand Rounds,"Vancouver, British Columbia",Invited,2015-05-BCCDC-Rounds-PH-Data-Vis_v2.pdf,http://mediasite.phsa.ca/Mediasite/Play/ce2d9416c16e4caba0ae4fef5f826d481d?catalog=8b83c4e8-dc95-40b0-8787-fc2a880b79b3,,